code,name,city,country
BIN,Bamiyan,Bamiyan,Afghanistan
BST,Bost,Bost,Afghanistan
CCN,Chakcharan,Chakcharan,Afghanistan
DAZ,Darwaz,Darwaz,Afghanistan
FBD,Faizabad,Faizabad,Afghanistan
FAH,Farah,Farah,Afghanistan
GRG,Gardez,Gardez,Afghanistan
GZI,Ghazni,Ghazni,Afghanistan
HEA,Herat,Herat,Afghanistan
JAA,Jalalabad,Jalalabad,Afghanistan
KDH,Kandahar,Kandahar,Afghanistan
KHT,Khost,Khost,Afghanistan
KWH,Khwahan,Khwahan,Afghanistan
KBL,Khwaja Rawash,Kabul,Afghanistan
UND,Kunduz,Kunduz,Afghanistan
KUR,Kuran-O-Munjan,Kuran-O-Munjan,Afghanistan
MMZ,Maimana,Maimana,Afghanistan
MZR,Mazar-i-sharif,Mazar-i-sharif,Afghanistan
IMZ,Nimroz,Nimroz,Afghanistan
LQN,Qala Nau,Qala Nau,Afghanistan
SBF,Sardeh Band,Sardeh Band,Afghanistan
SGA,Sheghnan,Sheghnan,Afghanistan
TQN,Taluqan,Taluqan,Afghanistan
TII,Tirinkot,Tirinkot,Afghanistan
URZ,Uruzgan,Uruzgan,Afghanistan
ZAJ,Zaranj,Zaranj,Afghanistan
RDB,Red Dog,Red Dog,Alaska
TIA,Rinas Mother Teresa,Tirana,Albania
AZR,Adrar,Adrar,Algeria
TMR,Aguemar,Tamanrasset,Algeria
OGX,Ain Beida,Ouargla,Algeria
BUJ,Ain Eddis,Boussaada,Algeria
CZL,Ain El Bey,Constantine,Algeria
BLJ,Batna,Batna,Algeria
BJA,Bejaia,Bejaia,Algeria
BSK,Biskra,Biskra,Algeria
BMW,Bordj Badji Mokhtar,Bordj Badji Mokhtar,Algeria
TID,Bouchekif Abde Al-hafidh Boussof,Tiaret,Algeria
ELG,Djamet,El Golea,Algeria
ORN,Es Senia,Oran,Algeria
GBB,Gara Djebilet,Gara Djebilet,Algeria
ELU,Guemar,El Oued,Algeria
ALG,Houari Boumediene,Algiers,Algeria
VVZ,Illizi,Illizi,Algeria
IAM,In Amenas,In Amenas,Algeria
INZ,In Salah,In Salah,Algeria
DJG,Inedbirenne,Djanet,Algeria
GJL,Jijel,Jijel,Algeria
KDF,Kouba,Kouba,Algeria
CBH,Leger,Bechar,Algeria
AAE,Les Salines,Annaba,Algeria
MUW,Mascara,Mascara,Algeria
MZW,Mechria,Mechria,Algeria
MQV,Mostaganem,Mostaganem,Algeria
INF,Newark Liberty International,In Guezzam,Algeria
GHA,Noumerate,Ghardaia,Algeria
HME,Oued Irara Apt,Hassi Messaoud,Algeria
QSF,Setif,Setif,Algeria
SKI,Skikda,Skikda,Algeria
TAF,Tafaraoui,Oran,Algeria
TMX,Timimoun,Timimoun,Algeria
TIN,Tindouf,Tindouf,Algeria
TGR,Touggourt,Touggourt,Algeria
TLM,Zenata,Tlemcen,Algeria
FTI,Fitiuta,Fitiuta,American Samoa
PPG,International,Pago Pago,American Samoa
OFU,Ofu,Ofu,American Samoa
TAV,Tau,Tau,American Samoa
ALV,Andorra La Vella H/P,Andorra La Vella,Andorra
LAD,4 de Fevereiro,Luanda,Angola
AZZ,Ambriz,Ambriz,Angola
AAZ,Ambriz,Ambriz,Angola
ANL,Andulo,Andulo,Angola
CAB,Cabinda,Cabinda,Angola
CFF,Cafunfo,Cafunfo,Angola
CNZ,Cangamba,Cangamba,Angola
KNP,Capanda,Capanda,Angola
CBT,Catumbela,Catumbela,Angola
CAV,Cazombo,Cazombo,Angola
PGI,Chitato,Chitato,Angola
CTI,Cuito Cuanavale,Cuito Cuanavale,Angola
DRC,Dirico,Dirico,Angola
DUE,Dundo,Dundo,Angola
BUG,Gen V Deslandes,Benguela,Angola
NOV,Huambo,Huambo,Angola
JMB,Jamba,Jamba,Angola
SVP,Kuito,Kuito,Angola
UAL,Luau,Luau,Angola
SDD,Lubango,Lubango,Angola
LUO,Luena,Luena,Angola
LBZ,Lukapa,Lukapa,Angola
GGC,Lumbala,Lumbala,Angola
LZM,Luzamba,Luzamba,Angola
MEG,Malange,Malange,Angola
SPP,Menongue,Menongue,Angola
MSZ,Namibe,Namibe,Angola
NDF,Ndalatandos,Ndalatandos,Angola
GXG,Negage,Negage,Angola
NGV,Ngiva,Ngiva,Angola
VPE,Ongiva,Ongiva,Angola
PBN,Porto Amboim,Porto Amboim,Angola
VHC,Saurimo,Saurimo,Angola
SZA,Soyo,Soyo,Angola
NDD,Sumbe,Sumbe,Angola
UGO,Uige,Uige,Angola
CEO,Waco Kungo,Waco Kungo,Angola
XGN,Xangongo,Xangongo,Angola
AXA,Wallblake,Anguilla,Anguilla
TNM,Teniente R. Marsh Martin,Teniente R. Marsh Martin,Antarctica
BBQ,Barbuda,Barbuda,Antigua and Barbuda
ANU,V. C. Bird Intl,St. John's,Antigua And Barbuda
REL,Almirante Zar,Trelew,Argentina
ARR,Alto Rio Senguerr,Alto Rio Senguerr,Argentina
AEP,Arpt. Jorge Newbery,Buenos Aires,Argentina
TUC,Benj Matienzo,Tucuman,Argentina
CSZ,Brigadier Hector Ruiz,Coronel Suarez,Argentina
CVI,Caleta Olivia,Caleta Olivia,Argentina
CNQ,Camba Punta,Corrientes,Argentina
IRJ,Capitan Vicente Almando,La Rioja,Argentina
CPG,Carmen De Patagones,Carmen De Patagones,Argentina
CTC,Catamarca,Catamarca,Argentina
IGR,Cataratas,Iguazu,Argentina
CVH,Caviahue,Caviahue,Argentina
CRR,Ceres,Ceres,Argentina
CPC,Chapelco,San Martin DeLos Andes,Argentina
CNT,Charata,Charata,Argentina
CLX,Clorinda,Clorinda,Argentina
CCT,Colonia Catriel,Colonia Catriel,Argentina
OLN,Colonia Sarmiento,Colonia Sarmiento,Argentina
BHI,Comandante,Bahia Blanca,Argentina
CRD,Comodoro Rivadavia,Comodoro Rivadavia,Argentina
COC,Concordia,Concordia,Argentina
UZU,Curuzu Cuatia,Curuzu Cuatia,Argentina
CUT,Cutral,Cutral,Argentina
EHL,El Bolson,El Bolson,Argentina
JUJ,El Cadillal,Jujuy,Argentina
FTE,El Calafate,El Calafate,Argentina
EMX,El Maiten,El Maiten,Argentina
EPA,El Palomar,El Palomar,Argentina
MDZ,El Plumerillo,Mendoza,Argentina
FMA,El Pucu,Formosa,Argentina
PMY,El Tehuelche,Puerto Madryn,Argentina
ELO,Eldorado,Eldorado,Argentina
EQS,Esquel,Esquel,Argentina
EZE,Ezeiza Ministro Pistarini,Buenos Aires,Argentina
ROS,Fisherton,Rosario,Argentina
SLA,Gen Belgrano,Salta,Argentina
GPO,General Pico,General Pico,Argentina
GNR,General Roca,General Roca,Argentina
VGS,General Villegas,General Villegas,Argentina
GGS,Gobernador Gregores,Gobernador Gregores,Argentina
OYA,Goya,Goya,Argentina
GHU,Gualeguaychu,Gualeguaychu,Argentina
IGB,Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina
RGL,Internacional,Rio Gallegos,Argentina
BRC,International,San Carlos DeBariloche,Argentina
USH,Islas Malvinas,Ushuaia,Argentina
JSM,Jose De San Martin,Jose De San Martin,Argentina
JNI,Junin,Junin,Argentina
LCM,La Cumbre,La Cumbre,Argentina
LPG,La Plata,La Plata,Argentina
ING,Lago Argentino,Lago Argentino,Argentina
LHS,Las Heras,Las Heras,Argentina
LLS,Las Lomitas,Las Lomitas,Argentina
LCP,Loncopue,Loncopue,Argentina
LMD,Los Menucos,Los Menucos,Argentina
LGS,Malargue,Malargue,Argentina
MQD,Maquinchao,Maquinchao,Argentina
MDQ,Mar Del Plata,Mar Del Plata,Argentina
MDX,Mercedes,Mercedes,Argentina
MJR,Miramar,Miramar,Argentina
MCS,Monte Caseros,Monte Caseros,Argentina
NEC,Necochea,Necochea,Argentina
NQN,Neuquen,Neuquen,Argentina
OVR,Olavarria,Olavarria,Argentina
ORA,Oran,Oran,Argentina
COR,Pajas Blancas,Cordoba,Argentina
PRA,Parana,Parana,Argentina
AOL,Paso De Los Libres,Paso De Los Libres,Argentina
PEH,Pehuajo,Pehuajo,Argentina
PMQ,Perito Moreno,Perito Moreno,Argentina
PSS,Posadas,Posadas,Argentina
PRQ,Pres. Roque Saenz Pena,Pres. Roque Saenz Pena,Argentina
PUD,Puerto Deseado,Puerto Deseado,Argentina
RCQ,Reconquista,Reconquista,Argentina
RES,Resistencia,Resistencia,Argentina
RCU,Rio Cuarto,Rio Cuarto,Argentina
RGA,Rio Grande,Rio Grande,Argentina
RHD,Rio Hondo,Rio Hondo,Argentina
ROY,Rio Mayo,Rio Mayo,Argentina
RYO,Rio Turbio,Rio Turbio,Argentina
SZQ,Saenz Pena,Saenz Pena,Argentina
OES,San Antonio Oeste,San Antonio Oeste,Argentina
UAQ,San Juan,San Juan,Argentina
ULA,San Julian,San Julian,Argentina
LUQ,San Luis,San Luis,Argentina
AFA,San Rafael,San Rafael,Argentina
RZA,Santa Cruz,Santa Cruz,Argentina
SFN,Santa Fe,Santa Fe,Argentina
RSA,Santa Rosa,Santa Rosa,Argentina
SST,Santa Teresita,Santa Teresita,Argentina
SDE,Santiago Del Estero,Santiago Del Estero,Argentina
SGV,Sierra Grande,Sierra Grande,Argentina
TDL,Tandil,Tandil,Argentina
TTG,Tartagal,Tartagal,Argentina
VCF,Valcheta,Valcheta,Argentina
RLO,Valle Del Conlara,Merlo,Argentina
VDM,Viedma,Viedma,Argentina
VDR,Villa Dolores,Villa Dolores,Argentina
VLG,Villa Gesell,Villa Gesell,Argentina
VME,Villa Mercedes,Villa Mercedes,Argentina
APZ,Zapala,Zapala,Argentina
LWN,Gyoumri,Gyoumri,Armenia
EVN,Zvartnots,Yerevan,Armenia
AUA,Reina Beatrix,Aruba,Aruba
VCD,Victoria River Downs,Victoria River Downs,Australia
ABG,Abingdon,Abingdon,Australia
ADL,Adelaide International Airport,Adelaide,Australia
XHX,Adelaide Keswick Rail,Adelaide,Australia
AGW,Agnew,Agnew,Australia
ALH,Albany,Albany,Australia
ABX,Albury,Albury,Australia
AXL,Alexandria,Alexandria,Australia
ASP,Alice Springs,Alice Springs,Australia
XHW,Alice Springs Railway,Alice Springs,Australia
ABH,Alpha,Alpha,Australia
AYD,Alroy Downs,Alroy Downs,Australia
AWN,Alton Downs,Alton Downs,Australia
GTE,Alyangula,Groote Eylandt,Australia
AMT,Amata,Amata,Australia
RCN,American River,American River,Australia
AMX,Ammaroo,Ammaroo,Australia
ADO,Andamooka,Andamooka,Australia
ANZ,Angus Downs,Angus Downs,Australia
AYL,Anthony Lagoon,Anthony Lagoon,Australia
AXC,Aramac,Aramac,Australia
ARY,Ararat,Ararat,Australia
GYL,Argyle,Argyle,Australia
AGY,Argyle Downs,Argyle Downs,Australia
ARM,Armidale,Armidale,Australia
AAB,Arrabury,Arrabury,Australia
AUD,Augustus Downs,Augustus Downs,Australia
AUU,Aurukun Mission,Aurukun Mission,Australia
AWP,Austral Downs,Austral Downs,Australia
AVG,Auvergne,Auvergne,Australia
AVV,Avalon,Geelong,Australia
AYR,Ayr,Ayr,Australia
BDD,Badu Island,Badu Island,Australia
BSJ,Bairnsdale,Bairnsdale,Australia
LCN,Balcanoona,Balcanoona,Australia
BQW,Balgo Hills,Balgo Hills,Australia
BNK,Ballina Byron Gateway,Ballina,Australia
BZD,Balranald,Balranald,Australia
ABM,Bamaga Injinoo,"Bamaga, Queensland",Australia
BYX,Baniyala,Baniyala,Australia
BCI,Barcaldine,Barcaldine,Australia
BKP,Barkly Downs,Barkly Downs,Australia
BWB,Barrow Island,Barrow Island,Australia
BVW,Batavia Downs,Batavia Downs,Australia
BRT,Bathurst Island,Bathurst Island,Australia
BEE,Beagle Bay,Beagle Bay,Australia
BDW,Bedford Downs,Bedford Downs,Australia
BEU,Bedourie,Bedourie,Australia
BXF,Belburn,Belburn,Australia
BEO,Belmont,Newcastle,Australia
BLN,Benalla,Benalla,Australia
BXG,Bendigo,Bendigo,Australia
BTX,Betoota,Betoota,Australia
BVZ,Beverley Springs,Beverley Springs,Australia
BCZ,Bickerton Island,Bickerton Island,Australia
BBE,Big Bell,Big Bell,Australia
BIW,Billiluna,Billiluna,Australia
ZBL,Biloela,Biloela,Australia
BVI,Birdsville,"Birdsville, Queensland",Australia
BZP,Bizant,Bizant,Australia
BKQ,Blackall,Blackall,Australia
BLT,Blackwater,Blackwater,Australia
BFC,Bloomfield,Bloomfield,Australia
GIC,Boigu Island,Boigu Island,Australia
BLS,Bollon,Bollon,Australia
BCK,Bolwarra,Bolwarra,Australia
BOX,Borroloola,Borroloola,Australia
BQL,Boulia,Boulia,Australia
BRK,Bourke,Bourke,Australia
ZBO,Bowen,Bowen,Australia
BMP,Brampton Island,Brampton Island,Australia
BWQ,Brewarrina,Brewarrina,Australia
